acpipmi.c	AcpiPmipIoctlSetConfiguration(__int64 a1, __int64 a2)
acpitime.c	WaHandleAcpiSetRealTime(__int64 a1, __int64 a2, __int64 a3)
afd.c	AfdReceiveDatagramEventCommonHandler(__int64 a1, unsigned int a2, __int64 a3, int a4, __int64 a5, ULONG SourceBytesToCopy, int a7, __int64 SourceBytesToCopya, __int64 a9, __int64 a10, int a11, int a12, __int64 a13, __int64 a14, __int64 a15, __int64 a16)
afd.c	AfdDoWork(PDEVICE_OBJECT DeviceObject, PVOID Context)
afd.c	WskProTLCreateEndpointComplete(__int64 a1, int a2, __int64 a3, __int64 a4)
afd.c	AfdCopyMdlChainToBufferAvoidMapping(PMDL MemoryDescriptorList, ULONG a2, int a3, void *a4, unsigned int a5)
afd.c	AfdRioCleanupRegistrationDomain(__int64 a1)
afd.c	AfdRioCloseRegistrationDomain(__int64 a1)
afd.c	AfdRioCreateRegisteredBuffer(__int64 a1, __int64 a2, __int64 a3, int a4, __int64 a5, __int64 a6)
afd.c	AfdAcquireReadLockAtDpcLevel(PKSPIN_LOCK SpinLock, __int64 a2)
afd.c	AfdReleaseReadLockFromDpcLevel(__int64 a1)
afd.c	AfdReleaseReadLock(__int64 a1, __int64 a2)
afd.c	AfdAcquireReadLock(PKSPIN_LOCK SpinLock, __int64 a2)
afd.c	AfdRioReferenceRegDomainByHandle(void *a1, KPROCESSOR_MODE a2, __int64 a3)
afd.c	AfdRioCreateRegistrationDomain(__int64 a1)
afd.c	AfdRioCreateCompletionQueue(__int64 a1, __int64 a2, void *a3, int a4, int a5, KPROCESSOR_MODE AccessMode, int a7, HANDLE Handle, __int64 a9, __int64 a10)
afd.c	AfdRioCreateCq(__int64 a1, unsigned __int64 a2, unsigned int a3, void *a4, unsigned int a5, KPROCESSOR_MODE a6)
afd.c	AfdRioCreateRqPair(__int64 a1, unsigned __int64 a2, unsigned int a3, KPROCESSOR_MODE a4)
afd.c	AfdReadPerProcCounter(__int64 a1, unsigned int a2)
afd.c	PplCreateLookasideList(__int64 a1, __int64 a2, __int64 a3, __int64 a4, __int64 a5, int a6, ULONG Tag, ULONG Taga)
afd.c	PnlCreateLookasideList(__int64 a1, __int64 a2, __int64 a3, __int64 a4, __int64 a5)
afd.c	PplpCreateOneLookasideList(__int64 a1, __int64 a2, __int64 a3, __int64 a4, int a5, ULONG Tag, int a7, __int64 Taga, __int64 a9, char a10)
afd.c	AfdCopyMdlChainToBufferAvoidMapping_filt_0(signed int **a1, __int64 a2)
afd.c	AfdRioCreateRqPair_filt_0(signed int **a1, __int64 a2)
afd.c	AfdRioCreateCq_filt_0(signed int **a1, __int64 a2)
